model,example_index,class,prediction,band,gate
Independent,25,low,low,750-1000 Hz,0.6268366
Independent,25,low,low,1-1.5 kHz,0.5865743
Independent,25,low,low,1.5-2.5 kHz,0.5547447
Independent,25,low,low,2.5-4 kHz,0.82856965
Independent,25,low,low,>4 kHz,0.6169547
Independent,26,low + high,low,<250 Hz,0.62966764
Independent,26,low + high,low,250-500 Hz,0.88224083
Independent,26,low + high,low,500-750 Hz,0.5621731
Independent,26,low + high,low,750-1000 Hz,0.55019945
Independent,26,low + high,low,1-1.5 kHz,0.5838638
Independent,26,low + high,low,1.5-2.5 kHz,0.5558452
Independent,26,low + high,low,2.5-4 kHz,0.76953655
Independent,26,low + high,low,>4 kHz,0.57275516
Independent,27,low,low,<250 Hz,0.604959
Independent,27,low,low,250-500 Hz,0.78902256
Independent,27,low,low,500-750 Hz,0.7811063
Independent,27,low,low,750-1000 Hz,0.6044414
Independent,27,low,low,1-1.5 kHz,0.5743086
Independent,27,low,low,1.5-2.5 kHz,0.57708776
Independent,27,low,low,2.5-4 kHz,0.68808275
Independent,27,low,low,>4 kHz,0.5932089
Independent,28,low + high,low,<250 Hz,0.6777238
Independent,28,low + high,low,250-500 Hz,0.91916263
Independent,28,low + high,low,500-750 Hz,0.56760097
Independent,28,low + high,low,750-1000 Hz,0.5626256
Independent,28,low + high,low,1-1.5 kHz,0.61063826
Independent,28,low + high,low,1.5-2.5 kHz,0.55946165
Independent,28,low + high,low,2.5-4 kHz,0.8233064
Independent,28,low + high,low,>4 kHz,0.58692795
Independent,29,low,mid,<250 Hz,0.64137316
Independent,29,low,mid,250-500 Hz,0.56966215
Independent,29,low,mid,500-750 Hz,0.5736118
Independent,29,low,mid,750-1000 Hz,0.69154626
Independent,29,low,mid,1-1.5 kHz,0.557959
Independent,29,low,mid,1.5-2.5 kHz,0.56011194
Independent,29,low,mid,2.5-4 kHz,0.6364299
Independent,29,low,mid,>4 kHz,0.6499869
Independent,30,low + high,mid,<250 Hz,0.7986175
Independent,30,low + high,mid,250-500 Hz,0.8376726
Independent,30,low + high,mid,500-750 Hz,0.5661929
Independent,30,low + high,mid,750-1000 Hz,0.65225446
Independent,30,low + high,mid,1-1.5 kHz,0.5701139
Independent,30,low + high,mid,1.5-2.5 kHz,0.5625255
Independent,30,low + high,mid,2.5-4 kHz,0.7978681
Independent,30,low + high,mid,>4 kHz,0.67937887
Independent,31,low + high,low + high,<250 Hz,0.6410239
Independent,31,low + high,low + high,250-500 Hz,0.65750384
Independent,31,low + high,low + high,500-750 Hz,0.55533445
Independent,31,low + high,low + high,750-1000 Hz,0.5565248
Independent,31,low + high,low + high,1-1.5 kHz,0.77238697
Independent,31,low + high,low + high,1.5-2.5 kHz,0.6618464
Independent,31,low + high,low + high,2.5-4 kHz,0.61365414
Independent,31,low + high,low + high,>4 kHz,0.64170766
Independent,32,low + high,mid,<250 Hz,0.68912125
Independent,32,low + high,mid,250-500 Hz,0.6560565
Independent,32,low + high,mid,500-750 Hz,0.56385195
Independent,32,low + high,mid,750-1000 Hz,0.5857827
Independent,32,low + high,mid,1-1.5 kHz,0.6429343
Independent,32,low + high,mid,1.5-2.5 kHz,0.68491876
Independent,32,low + high,mid,2.5-4 kHz,0.6483215
Independent,32,low + high,mid,>4 kHz,0.8326892
Independent,33,mid,high,<250 Hz,0.5729567
Independent,33,mid,high,250-500 Hz,0.5589135
Independent,33,mid,high,500-750 Hz,0.665857
Independent,33,mid,high,750-1000 Hz,0.5723154
Independent,33,mid,high,1-1.5 kHz,0.6402708
Independent,33,mid,high,1.5-2.5 kHz,0.63770676
Independent,33,mid,high,2.5-4 kHz,0.5627137
Independent,33,mid,high,>4 kHz,0.77298707
Independent,34,mid,mid,<250 Hz,0.73588157
Independent,34,mid,mid,250-500 Hz,0.7961315
Independent,34,mid,mid,500-750 Hz,0.56449604
Independent,34,mid,mid,750-1000 Hz,0.6680689
Independent,34,mid,mid,1-1.5 kHz,0.5806641
Independent,34,mid,mid,1.5-2.5 kHz,0.5706722
Independent,34,mid,mid,2.5-4 kHz,0.7543842
Independent,34,mid,mid,>4 kHz,0.66099083
Independent,35,mid,mid,<250 Hz,0.7082517
Independent,35,mid,mid,250-500 Hz,0.6958535
Independent,35,mid,mid,500-750 Hz,0.56280243
Independent,35,mid,mid,750-1000 Hz,0.64817315
Independent,35,mid,mid,1-1.5 kHz,0.5822539
Independent,35,mid,mid,1.5-2.5 kHz,0.5933446
Independent,35,mid,mid,2.5-4 kHz,0.68464094
Independent,35,mid,mid,>4 kHz,0.7190388
Independent,36,low + high,mid,<250 Hz,0.6788604
Independent,36,low + high,mid,250-500 Hz,0.6706379
Independent,36,low + high,mid,500-750 Hz,0.55783176
Independent,36,low + high,mid,750-1000 Hz,0.60328937
Independent,36,low + high,mid,1-1.5 kHz,0.61214775
Independent,36,low + high,mid,1.5-2.5 kHz,0.636853
Independent,36,low + high,mid,2.5-4 kHz,0.65459394
Independent,36,low + high,mid,>4 kHz,0.77039486
Independent,37,high,high,<250 Hz,0.57612276
Independent,37,high,high,250-500 Hz,0.6022459
Independent,37,high,high,500-750 Hz,0.8009516
Independent,37,high,high,750-1000 Hz,0.5579611
Independent,37,high,high,1-1.5 kHz,0.69430304
Independent,37,high,high,1.5-2.5 kHz,0.713545
Independent,37,high,high,2.5-4 kHz,0.5748353
Independent,37,high,high,>4 kHz,0.5793904
Independent,38,mid,mid,<250 Hz,0.6684484
Independent,38,mid,mid,250-500 Hz,0.6450785
Independent,38,mid,mid,500-750 Hz,0.5923661
Independent,38,mid,mid,750-1000 Hz,0.56487936
Independent,38,mid,mid,1-1.5 kHz,0.63792783
Independent,38,mid,mid,1.5-2.5 kHz,0.60072833
Independent,38,mid,mid,2.5-4 kHz,0.62039965
Independent,38,mid,mid,>4 kHz,0.7749467
Independent,39,low,low,<250 Hz,0.66632277
Independent,39,low,low,250-500 Hz,0.6704669
Independent,39,low,low,500-750 Hz,0.77167594
Independent,39,low,low,750-1000 Hz,0.6046836
Independent,39,low,low,1-1.5 kHz,0.5388705
Independent,39,low,low,1.5-2.5 kHz,0.5633024
Independent,39,low,low,2.5-4 kHz,0.6493609
Independent,39,low,low,>4 kHz,0.6868459
Independent,40,low,low,<250 Hz,0.598511
Independent,40,low,low,250-500 Hz,0.80929375
Independent,40,low,low,500-750 Hz,0.8270135
Independent,40,low,low,750-1000 Hz,0.556312
Independent,40,low,low,1-1.5 kHz,0.57398003
Independent,40,low,low,1.5-2.5 kHz,0.5951354
Independent,40,low,low,2.5-4 kHz,0.6930438
Independent,40,low,low,>4 kHz,0.5769745
Independent,41,high,high,<250 Hz,0.5847835
Independent,41,high,high,250-500 Hz,0.5626191
Independent,41,high,high,500-750 Hz,0.8468579
Independent,41,high,high,750-1000 Hz,0.58300954
Independent,41,high,high,1-1.5 kHz,0.65858096
Independent,41,high,high,1.5-2.5 kHz,0.6976348
Independent,41,high,high,2.5-4 kHz,0.5732787
Independent,41,high,high,>4 kHz,0.79283845
Independent,42,low,low,<250 Hz,0.8085412
Independent,42,low,low,250-500 Hz,0.91220105
Independent,42,low,low,500-750 Hz,0.56227297
Independent,42,low,low,750-1000 Hz,0.6334755
Independent,42,low,low,1-1.5 kHz,0.612407
Independent,42,low,low,1.5-2.5 kHz,0.5564598
Independent,42,low,low,2.5-4 kHz,0.86334455
Independent,42,low,low,>4 kHz,0.61605257
Independent,43,mid,mid,<250 Hz,0.61019826
Independent,43,mid,mid,250-500 Hz,0.567157
Independent,43,mid,mid,500-750 Hz,0.61742496
Independent,43,mid,mid,750-1000 Hz,0.5578415
Independent,43,mid,mid,1-1.5 kHz,0.6176128
Independent,43,mid,mid,1.5-2.5 kHz,0.66020167
Independent,43,mid,mid,2.5-4 kHz,0.5791582
Independent,43,mid,mid,>4 kHz,0.8298634
Independent,44,mid,high,<250 Hz,0.5609607
Independent,44,mid,high,250-500 Hz,0.5576305
Independent,44,mid,high,500-750 Hz,0.57106954
Independent,44,mid,high,750-1000 Hz,0.5367137
Independent,44,mid,high,1-1.5 kHz,0.5661591
Independent,44,mid,high,1.5-2.5 kHz,0.7199176
Independent,44,mid,high,2.5-4 kHz,0.578738
Independent,44,mid,high,>4 kHz,0.55921125
Independent,45,high,high,<250 Hz,0.58643425
Independent,45,high,high,250-500 Hz,0.5622093
Independent,45,high,high,500-750 Hz,0.9039271
Independent,45,high,high,750-1000 Hz,0.5726286
Independent,45,high,high,1-1.5 kHz,0.61205375
Independent,45,high,high,1.5-2.5 kHz,0.657198
Independent,45,high,high,2.5-4 kHz,0.57955015
Independent,45,high,high,>4 kHz,0.6162158
Independent,46,low + high,low + high,<250 Hz,0.6949816
Independent,46,low + high,low + high,250-500 Hz,0.6961233
Independent,46,low + high,low + high,500-750 Hz,0.5686427
Independent,46,low + high,low + high,750-1000 Hz,0.58817565
Independent,46,low + high,low + high,1-1.5 kHz,0.6561797
Independent,46,low + high,low + high,1.5-2.5 kHz,0.6934339
Independent,46,low + high,low + high,2.5-4 kHz,0.6751474
Independent,46,low + high,low + high,>4 kHz,0.83153516
Independent,47,low + high,mid,<250 Hz,0.6987299
Independent,47,low + high,mid,250-500 Hz,0.68384266
Independent,47,low + high,mid,500-750 Hz,0.59829116
Independent,47,low + high,mid,750-1000 Hz,0.592445
Independent,47,low + high,mid,1-1.5 kHz,0.6213075
Independent,47,low + high,mid,1.5-2.5 kHz,0.65633404
Independent,47,low + high,mid,2.5-4 kHz,0.6675737
Independent,47,low + high,mid,>4 kHz,0.79870075
Independent,48,high,high,<250 Hz,0.58115476
Independent,48,high,high,250-500 Hz,0.5587694
Independent,48,high,high,500-750 Hz,0.8010264
Independent,48,high,high,750-1000 Hz,0.57291716
Independent,48,high,high,1-1.5 kHz,0.6640058
Independent,48,high,high,1.5-2.5 kHz,0.6862537
Independent,48,high,high,2.5-4 kHz,0.56982994
Independent,48,high,high,>4 kHz,0.78486913
Independent,49,low + high,low + high,<250 Hz,0.7134908
Independent,49,low + high,low + high,250-500 Hz,0.80472445
Independent,49,low + high,low + high,500-750 Hz,0.58886874
Independent,49,low + high,low + high,750-1000 Hz,0.59043866
Independent,49,low + high,low + high,1-1.5 kHz,0.63255185
Independent,49,low + high,low + high,1.5-2.5 kHz,0.64812833
Independent,49,low + high,low + high,2.5-4 kHz,0.74960214
Independent,49,low + high,low + high,>4 kHz,0.76969635
Independent,50,low + high,low + high,<250 Hz,0.6896256
Independent,50,low + high,low + high,250-500 Hz,0.6705626
Independent,50,low + high,low + high,500-750 Hz,0.5657081
Independent,50,low + high,low + high,750-1000 Hz,0.58578897
Independent,50,low + high,low + high,1-1.5 kHz,0.6591115
Independent,50,low + high,low + high,1.5-2.5 kHz,0.7000917
Independent,50,low + high,low + high,2.5-4 kHz,0.6547649
Independent,50,low + high,low + high,>4 kHz,0.84214973
Independent,51,high,high,<250 Hz,0.5807553
Independent,51,high,high,250-500 Hz,0.5661354
Independent,51,high,high,500-750 Hz,0.85495526
Independent,51,high,high,750-1000 Hz,0.5889389
Independent,51,high,high,1-1.5 kHz,0.6085034
Independent,51,high,high,1.5-2.5 kHz,0.65329915
Independent,51,high,high,2.5-4 kHz,0.5756253
Independent,51,high,high,>4 kHz,0.72421753
Independent,52,low,low,<250 Hz,0.69619894
Independent,52,low,low,250-500 Hz,0.7020941
Independent,52,low,low,500-750 Hz,0.60515237
Independent,52,low,low,750-1000 Hz,0.7527139
Independent,52,low,low,1-1.5 kHz,0.5680883
Independent,52,low,low,1.5-2.5 kHz,0.55720204
Independent,52,low,low,2.5-4 kHz,0.6854055
Independent,52,low,low,>4 kHz,0.6213249
Independent,53,high,high,<250 Hz,0.60668695
Independent,53,high,high,250-500 Hz,0.5860642
Independent,53,high,high,500-750 Hz,0.9114781
Independent,53,high,high,750-1000 Hz,0.59573436
Independent,53,high,high,1-1.5 kHz,0.58078337
Independent,53,high,high,1.5-2.5 kHz,0.64221424
Independent,53,high,high,2.5-4 kHz,0.59990656
Independent,53,high,high,>4 kHz,0.6249884
Independent,54,high,high,<250 Hz,0.5852519
Independent,54,high,high,250-500 Hz,0.56156707
Independent,54,high,high,500-750 Hz,0.8407103
Independent,54,high,high,750-1000 Hz,0.5734348
Independent,54,high,high,1-1.5 kHz,0.62731135
Independent,54,high,high,1.5-2.5 kHz,0.6781411
Independent,54,high,high,2.5-4 kHz,0.5801821
Independent,54,high,high,>4 kHz,0.76444364
Independent,55,low,low,<250 Hz,0.6714713
Independent,55,low,low,250-500 Hz,0.7808729
Independent,55,low,low,500-750 Hz,0.754595
Independent,55,low,low,750-1000 Hz,0.63165015
Independent,55,low,low,1-1.5 kHz,0.57401884
Independent,55,low,low,1.5-2.5 kHz,0.57156545
Independent,55,low,low,2.5-4 kHz,0.7195165
Independent,55,low,low,>4 kHz,0.60220003
Independent,56,low,low,<250 Hz,0.71679884
Independent,56,low,low,250-500 Hz,0.7870421
Independent,56,low,low,500-750 Hz,0.81348914
Independent,56,low,low,750-1000 Hz,0.6215762
Independent,56,low,low,1-1.5 kHz,0.5606521
Independent,56,low,low,1.5-2.5 kHz,0.57462806
Independent,56,low,low,2.5-4 kHz,0.7381751
Independent,56,low,low,>4 kHz,0.62813497
Independent,57,low,high,<250 Hz,0.58766866
Independent,57,low,high,250-500 Hz,0.5942899
Independent,57,low,high,500-750 Hz,0.89763564
Independent,57,low,high,750-1000 Hz,0.6520713
Independent,57,low,high,1-1.5 kHz,0.54119307
Independent,57,low,high,1.5-2.5 kHz,0.58366925
Independent,57,low,high,2.5-4 kHz,0.5818646
Independent,57,low,high,>4 kHz,0.74144185
Independent,58,low,low,<250 Hz,0.58282053
Independent,58,low,low,250-500 Hz,0.6217786
Independent,58,low,low,500-750 Hz,0.8896043
Independent,58,low,low,750-1000 Hz,0.6449264
Independent,58,low,low,1-1.5 kHz,0.53774166
Independent,58,low,low,1.5-2.5 kHz,0.5747525
Independent,58,low,low,2.5-4 kHz,0.5843315
Independent,58,low,low,>4 kHz,0.739612
Independent,59,low + high,low + high,<250 Hz,0.678791
Independent,59,low + high,low + high,250-500 Hz,0.8333916
Independent,59,low + high,low + high,500-750 Hz,0.5514384
Independent,59,low + high,low + high,750-1000 Hz,0.56670576
Independent,59,low + high,low + high,1-1.5 kHz,0.72649384
Independent,59,low + high,low + high,1.5-2.5 kHz,0.65880704
Independent,59,low + high,low + high,2.5-4 kHz,0.75262034
Independent,59,low + high,low + high,>4 kHz,0.58177507
Independent,60,high,high,<250 Hz,0.5838944
Independent,60,high,high,250-500 Hz,0.5883926
Independent,60,high,high,500-750 Hz,0.88715327
Independent,60,high,high,750-1000 Hz,0.6389598
Independent,60,high,high,1-1.5 kHz,0.53821
Independent,60,high,high,1.5-2.5 kHz,0.5798807
Independent,60,high,high,2.5-4 kHz,0.5798102
Independent,60,high,high,>4 kHz,0.71970737
Independent,61,low + high,mid,<250 Hz,0.6456518
Independent,61,low + high,mid,250-500 Hz,0.6175883
Independent,61,low + high,mid,500-750 Hz,0.5813523
Independent,61,low + high,mid,750-1000 Hz,0.57066554
Independent,61,low + high,mid,1-1.5 kHz,0.63729846
Independent,61,low + high,mid,1.5-2.5 kHz,0.6705754
Independent,61,low + high,mid,2.5-4 kHz,0.6106833
Independent,61,low + high,mid,>4 kHz,0.81374806
Independent,62,low + high,low + high,<250 Hz,0.6651951
Independent,62,low + high,low + high,250-500 Hz,0.67402065
Independent,62,low + high,low + high,500-750 Hz,0.5529409
Independent,62,low + high,low + high,750-1000 Hz,0.57304436
Independent,62,low + high,low + high,1-1.5 kHz,0.74099106
Independent,62,low + high,low + high,1.5-2.5 kHz,0.69169194
Independent,62,low + high,low + high,2.5-4 kHz,0.6401419
Independent,62,low + high,low + high,>4 kHz,0.64658815
Independent,63,high,high,<250 Hz,0.5782429
Independent,63,high,high,250-500 Hz,0.5785375
Independent,63,high,high,500-750 Hz,0.8562064
Independent,63,high,high,750-1000 Hz,0.5742126
Independent,63,high,high,1-1.5 kHz,0.64732605
Independent,63,high,high,1.5-2.5 kHz,0.6771439
Independent,63,high,high,2.5-4 kHz,0.57163095
Independent,63,high,high,>4 kHz,0.58159053
Independent,64,mid,mid,<250 Hz,0.7688557
Independent,64,mid,mid,250-500 Hz,0.8120811
Independent,64,mid,mid,500-750 Hz,0.5701619
Independent,64,mid,mid,750-1000 Hz,0.6460013
Independent,64,mid,mid,1-1.5 kHz,0.5588767
Independent,64,mid,mid,1.5-2.5 kHz,0.5633463
Independent,64,mid,mid,2.5-4 kHz,0.7600189
Independent,64,mid,mid,>4 kHz,0.70210403
Independent,65,low,low,<250 Hz,0.7089465
Independent,65,low,low,250-500 Hz,0.7801623
Independent,65,low,low,500-750 Hz,0.8291722
Independent,65,low,low,750-1000 Hz,0.59253037
Independent,65,low,low,1-1.5 kHz,0.5702428
Independent,65,low,low,1.5-2.5 kHz,0.5975161
Independent,65,low,low,2.5-4 kHz,0.73370904
Independent,65,low,low,>4 kHz,0.5956934
Independent,66,mid,mid,<250 Hz,0.6952623
Independent,66,mid,mid,250-500 Hz,0.693771
